Fixture,Type,Mode,Base Address,Attribute,Universe,Channel
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,8323,Focus1,17,143
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,8323,G1,17,152
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,8323,G1 <>,17,153
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,8323,G2,17,155
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,8323,Iris,17,157
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7169,Dim,15,9
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7169,Focus1,15,13
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7169,G1,15,22
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7169,G1 <>,15,23
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7169,G2,15,25
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7169,Iris,15,27
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7681,Dim,16,9
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7681,Focus1,16,13
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7681,G1,16,22
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7681,G1 <>,16,23
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7681,G2,16,25
Ayrton Rivale Profile,Ayrton@Rivale_Profile@V1.53_Adjust_Real_PT_Values,Standard_540,7681,Iris,16,27
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14905,Dim,30,110
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14905,Focus1,30,98
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14905,G1,30,83
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14905,G1 <>,30,84
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14905,G2,30,86
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14905,G2 <>,30,87
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14905,Iris,30,94
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14961,Dim,30,166
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14961,Focus1,30,154
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14961,G1,30,139
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14961,G1 <>,30,140
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14961,G2,30,142
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14961,G2 <>,30,143
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14961,Iris,30,150
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14849,Dim,30,54
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14849,Focus1,30,42
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14849,G1,30,27
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14849,G1 <>,30,28
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14849,G2,30,30
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14849,G2 <>,30,31
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,14849,Iris,30,38
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15017,Dim,30,222
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15017,Focus1,30,210
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15017,G1,30,195
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15017,G1 <>,30,196
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15017,G2,30,198
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15017,G2 <>,30,199
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15017,Iris,30,206
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15129,Dim,30,334
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15129,Focus1,30,322
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15129,G1,30,307
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15129,G1 <>,30,308
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15129,G2,30,310
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15129,G2 <>,30,311
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15129,Iris,30,318
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15073,Dim,30,278
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15073,Focus1,30,266
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15073,G1,30,251
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15073,G1 <>,30,252
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15073,G2,30,254
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15073,G2 <>,30,255
Robe Robin Forte FS,Robe_Lighting@Robin_Forte_FS@2024-11-13__RDM_personality_revision,Mode 1 - Standard 16 bit,15073,Iris,30,262
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6963,Dim,14,356
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6963,Focus1,14,344
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6963,G1,14,333
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6963,G2,14,334
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6963,G2 <>,14,335
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6963,Iris,14,340
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,7013,Dim,14,406
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,7013,Focus1,14,394
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,7013,G1,14,383
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,7013,G2,14,384
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,7013,G2 <>,14,385
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,7013,Iris,14,390
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6410,Dim,13,315
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6410,Focus1,13,303
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6410,G1,13,292
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6410,G2,13,293
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6410,G2 <>,13,294
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6410,Iris,13,299
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6460,Dim,13,365
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6460,Focus1,13,353
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6460,G1,13,342
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6460,G2,13,343
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6460,G2 <>,13,344
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6460,Iris,13,349
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5477,Dim,11,406
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5477,Focus1,11,394
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5477,G1,11,383
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5477,G2,11,384
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5477,G2 <>,11,385
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5477,Iris,11,390
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5427,Dim,11,356
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5427,Focus1,11,344
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5427,G1,11,333
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5427,G2,11,334
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5427,G2 <>,11,335
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5427,Iris,11,340
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5377,Dim,11,306
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5377,Focus1,11,294
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5377,G1,11,283
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5377,G2,11,284
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5377,G2 <>,11,285
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5377,Iris,11,290
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5883,Dim,12,300
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5883,Focus1,12,288
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5883,G1,12,277
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5883,G2,12,278
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5883,G2 <>,12,279
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5883,Iris,12,284
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5833,Dim,12,250
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5833,Focus1,12,238
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5833,G1,12,227
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5833,G2,12,228
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5833,G2 <>,12,229
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,5833,Iris,12,234
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4332,Dim,9,285
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4332,Focus1,9,273
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4332,G1,9,262
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4332,G2,9,263
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4332,G2 <>,9,264
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4332,Iris,9,269
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3870,Dim,8,335
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3870,Focus1,8,323
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3870,G1,8,312
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3870,G2,8,313
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3870,G2 <>,8,314
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3870,Iris,8,319
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4382,Dim,9,335
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4382,Focus1,9,323
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4382,G1,9,312
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4382,G2,9,313
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4382,G2 <>,9,314
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4382,Iris,9,319
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4432,Dim,9,385
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4432,Focus1,9,373
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4432,G1,9,362
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4432,G2,9,363
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4432,G2 <>,9,364
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,4432,Iris,9,369
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3820,Dim,8,285
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3820,Focus1,8,273
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3820,G1,8,262
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3820,G2,8,263
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3820,G2 <>,8,264
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,3820,Iris,8,269
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6913,Dim,14,306
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6913,Focus1,14,294
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6913,G1,14,283
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6913,G2,14,284
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6913,G2 <>,14,285
Robe Robin Esprite,Robe Lighting@Robin Esprite,Mode 3 - Standard 16 bit + green correction,6913,Iris,14,290
